timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727205522863,619,http://live.techpanda.org/index.php/mobile.html,200,OK,Thread Group 1-1,text,true,,30396,389,4,4,http://live.techpanda.org/index.php/mobile.html,476,0,159
1727205523484,93,https://pagead2.googlesyndication.com/pagead/html/r20240919/r20110914/zrt_lookup_fy2021.html,200,OK,Thread Group 1-1,text,true,,9606,734,4,4,https://pagead2.googlesyndication.com/pagead/html/r20240919/r20110914/zrt_lookup_fy2021.html,92,0,86
1727205523071,566,http://live.techpanda.org/index.php/mobile.html,200,OK,Thread Group 1-2,text,true,,30396,389,4,4,http://live.techpanda.org/index.php/mobile.html,416,0,149
1727205523578,77,https://pagead2.googlesyndication.com/pagead/ads?client=ca-pub-6330153051175486&output=html&h=280&slotname=3958788084&adk=2952998899&adf=1113819862&pi=t.ma~as.3958788084&w=1200&abgtt=1&fwrn=4&fwrnh=100&lmt=1727204012&rafmt=1&format=1200x280&url=http%3A%2F%2Flive.techpanda.org%2Findex.php%2Fmobile.html&fwr=0&fwrattr=true&rpe=1&resp_fmts=3&wgl=1&dt=1727204011912&bpp=5&bdt=1256&idt=431&shv=r20240919&mjsv=m202409190101&ptt=9&saldr=aa&abxe=1&eoidce=1&correlator=2513282524872&frm=20&pv=2&u_tz=180&u_his=4&u_h=720&u_w=1280&u_ah=672&u_aw=1280&u_cd=24&u_sd=1.5&adx=32&ady=1051&biw=1263&bih=585&scr_x=0&scr_y=0&eid=44759876%2C44759927%2C44759837%2C44798934%2C95342016%2C95342766%2C31087334%2C95335247%2C95340252%2C95340254&oid=2&pvsid=4292539466588627&tmod=1763877374&uas=0&nvt=1&ref=http%3A%2F%2Flive.techpanda.org%2F&fc=896&brdim=0%2C0%2C0%2C0%2C1280%2C0%2C1280%2C672%2C1280%2C585&vis=1&rsz=%7C%7CpeEbr%7C&abl=CS&pfx=0&fu=16512&bc=23&bz=1&nt=1&ifi=1&uci=a!1&btvi=1&fsb=1&dtd=462,403,Forbidden,Thread Group 1-1,text,false,,1123,1621,4,4,https://pagead2.googlesyndication.com/pagead/ads?bih=585&pv=2&u_ah=672&rafmt=1&output=html&dt=1727204011912&biw=1263&lmt=1727204012&ref=http%3A%2F%2Flive.techpanda.org%2F&scr_x=0&uci=a%211&wgl=1&u_h=720&scr_y=0&frm=20&vis=1&adf=1113819862&brdim=0%2C0%2C0%2C0%2C1280%2C0%2C1280%2C672%2C1280%2C585&u_tz=180&format=1200x280&adk=2952998899&btvi=1&u_w=1280&nvt=1&adx=32&fsb=1&ady=1051&idt=431&tmod=1763877374&fc=896&fwr=0&shv=r20240919&slotname=3958788084&eoidce=1&eid=44759876%2C44759927%2C44759837%2C44798934%2C95342016%2C95342766%2C31087334%2C95335247%2C95340252%2C95340254&bc=23&pfx=0&nt=1&oid=2&fu=16512&resp_fmts=3&u_his=4&dtd=462&rsz=%7C%7CpeEbr%7C&bz=1&client=ca-pub-6330153051175486&u_cd=24&abgtt=1&bpp=5&abxe=1&rpe=1&uas=0&h=280&pvsid=4292539466588627&abl=CS&u_sd=1.5&ifi=1&fwrnh=100&url=http%3A%2F%2Flive.techpanda.org%2Findex.php%2Fmobile.html&saldr=aa&ptt=9&correlator=2513282524872&fwrattr=true&bdt=1256&mjsv=m202409190101&u_aw=1280&w=1200&pi=t.ma%7Eas.3958788084&fwrn=4,76,0,0
1727205523655,45,https://pagead2.googlesyndication.com/pagead/ads?client=ca-pub-6330153051175486&output=html&adk=2796492187&adf=2640856889&abgtt=1&lmt=1727204012&plat=1%3A1024%2C2%3A1024%2C3%3A2097152%2C4%3A2097152%2C9%3A134250504%2C16%3A8388608%2C17%3A32%2C24%3A32%2C25%3A32%2C30%3A1081344%2C32%3A32%2C41%3A32%2C42%3A32&format=0x0&url=http%3A%2F%2Flive.techpanda.org%2Findex.php%2Fmobile.html&pra=7&wgl=1&aihb=0&asro=0&ailel=1~2~4~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~24~29~30~34&aiael=1~2~4~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~24~29~30~34&aifxl=29_18~30_19&aiixl=29_5~30_6&aslmct=0.7&asamct=0.7&aifgd=1&aipaq=1&itsi=-1&aiepr=1&aipecl=1&dt=1727204011918&bpp=2&bdt=1261&idt=469&shv=r20240919&mjsv=m202409190101&ptt=9&saldr=aa&abxe=1&eoidce=1&prev_fmts=1200x280&nras=1&correlator=2513282524872&frm=20&pv=1&u_tz=180&u_his=4&u_h=720&u_w=1280&u_ah=672&u_aw=1280&u_cd=24&u_sd=1.5&adx=-12245933&ady=-12245933&biw=1263&bih=585&scr_x=0&scr_y=0&eid=44759876%2C44759927%2C44759837%2C44798934%2C95342016%2C95342766%2C31087334%2C95335247%2C95340252%2C95340254&oid=2&pvsid=4292539466588627&tmod=1763877374&uas=0&nvt=1&fsapi=1&ref=http%3A%2F%2Flive.techpanda.org%2F&fc=896&brdim=0%2C0%2C0%2C0%2C1280%2C0%2C1280%2C672%2C1280%2C585&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=49152&bc=23&bz=1&nt=1&ifi=2&uci=a!2&fsb=1&dtd=481,200,OK,Thread Group 1-1,text,true,,424,2030,5,5,https://pagead2.googlesyndication.com/pagead/ads?bih=585&pv=1&u_ah=672&aihb=0&output=html&dt=1727204011918&biw=1263&lmt=1727204012&ref=http%3A%2F%2Flive.techpanda.org%2F&aifgd=1&scr_x=0&uci=a%212&plat=1%3A1024%2C2%3A1024%2C3%3A2097152%2C4%3A2097152%2C9%3A134250504%2C16%3A8388608%2C17%3A32%2C24%3A32%2C25%3A32%2C30%3A1081344%2C32%3A32%2C41%3A32%2C42%3A32&wgl=1&pra=7&u_h=720&scr_y=0&frm=20&vis=1&adf=2640856889&brdim=0%2C0%2C0%2C0%2C1280%2C0%2C1280%2C672%2C1280%2C585&u_tz=180&format=0x0&aiael=1%7E2%7E4%7E6%7E7%7E8%7E9%7E10%7E11%7E12%7E13%7E14%7E15%7E16%7E17%7E18%7E19%7E20%7E21%7E24%7E29%7E30%7E34&adk=2796492187&u_w=1280&nvt=1&adx=-12245933&fsb=1&ady=-12245933&idt=469&tmod=1763877374&aifxl=29_18%7E30_19&fc=896&shv=r20240919&prev_fmts=1200x280&eoidce=1&eid=44759876%2C44759927%2C44759837%2C44798934%2C95342016%2C95342766%2C31087334%2C95335247%2C95340252%2C95340254&bc=23&asro=0&aipecl=1&nras=1&nt=1&asamct=0.7&oid=2&fu=49152&u_his=4&dtd=481&rsz=%7C%7Cs%7C&bz=1&client=ca-pub-6330153051175486&u_cd=24&abgtt=1&ailel=1%7E2%7E4%7E6%7E7%7E8%7E9%7E10%7E11%7E12%7E13%7E14%7E15%7E16%7E17%7E18%7E19%7E20%7E21%7E24%7E29%7E30%7E34&bpp=2&abxe=1&uas=0&aslmct=0.7&pvsid=4292539466588627&abl=NS&u_sd=1.5&ifi=2&url=http%3A%2F%2Flive.techpanda.org%2Findex.php%2Fmobile.html&saldr=aa&aipaq=1&itsi=-1&ptt=9&correlator=2513282524872&bdt=1261&mjsv=m202409190101&u_aw=1280&aiepr=1&aiixl=29_5%7E30_6&fsapi=1,45,0,0
1727205523639,75,https://pagead2.googlesyndication.com/pagead/html/r20240919/r20110914/zrt_lookup_fy2021.html,200,OK,Thread Group 1-2,text,true,,9606,734,5,5,https://pagead2.googlesyndication.com/pagead/html/r20240919/r20110914/zrt_lookup_fy2021.html,75,0,68
1727205523701,76,https://pagead2.googlesyndication.com/getconfig/sodar?sv=200&tid=gda&tv=r20240919&st=env,200,OK,Thread Group 1-1,text,true,,17794,397,5,5,https://pagead2.googlesyndication.com/getconfig/sodar?st=env&tv=r20240919&sv=200&tid=gda,61,0,0
1727205523715,76,https://pagead2.googlesyndication.com/pagead/ads?client=ca-pub-6330153051175486&output=html&h=280&slotname=3958788084&adk=2952998899&adf=1113819862&pi=t.ma~as.3958788084&w=1200&abgtt=1&fwrn=4&fwrnh=100&lmt=1727204012&rafmt=1&format=1200x280&url=http%3A%2F%2Flive.techpanda.org%2Findex.php%2Fmobile.html&fwr=0&fwrattr=true&rpe=1&resp_fmts=3&wgl=1&dt=1727204011912&bpp=5&bdt=1256&idt=431&shv=r20240919&mjsv=m202409190101&ptt=9&saldr=aa&abxe=1&eoidce=1&correlator=2513282524872&frm=20&pv=2&u_tz=180&u_his=4&u_h=720&u_w=1280&u_ah=672&u_aw=1280&u_cd=24&u_sd=1.5&adx=32&ady=1051&biw=1263&bih=585&scr_x=0&scr_y=0&eid=44759876%2C44759927%2C44759837%2C44798934%2C95342016%2C95342766%2C31087334%2C95335247%2C95340252%2C95340254&oid=2&pvsid=4292539466588627&tmod=1763877374&uas=0&nvt=1&ref=http%3A%2F%2Flive.techpanda.org%2F&fc=896&brdim=0%2C0%2C0%2C0%2C1280%2C0%2C1280%2C672%2C1280%2C585&vis=1&rsz=%7C%7CpeEbr%7C&abl=CS&pfx=0&fu=16512&bc=23&bz=1&nt=1&ifi=1&uci=a!1&btvi=1&fsb=1&dtd=462,403,Forbidden,Thread Group 1-2,text,false,,1123,1621,5,5,https://pagead2.googlesyndication.com/pagead/ads?bih=585&pv=2&u_ah=672&rafmt=1&output=html&dt=1727204011912&biw=1263&lmt=1727204012&ref=http%3A%2F%2Flive.techpanda.org%2F&scr_x=0&uci=a%211&wgl=1&u_h=720&scr_y=0&frm=20&vis=1&adf=1113819862&brdim=0%2C0%2C0%2C0%2C1280%2C0%2C1280%2C672%2C1280%2C585&u_tz=180&format=1200x280&adk=2952998899&btvi=1&u_w=1280&nvt=1&adx=32&fsb=1&ady=1051&idt=431&tmod=1763877374&fc=896&fwr=0&shv=r20240919&slotname=3958788084&eoidce=1&eid=44759876%2C44759927%2C44759837%2C44798934%2C95342016%2C95342766%2C31087334%2C95335247%2C95340252%2C95340254&bc=23&pfx=0&nt=1&oid=2&fu=16512&resp_fmts=3&u_his=4&dtd=462&rsz=%7C%7CpeEbr%7C&bz=1&client=ca-pub-6330153051175486&u_cd=24&abgtt=1&bpp=5&abxe=1&rpe=1&uas=0&h=280&pvsid=4292539466588627&abl=CS&u_sd=1.5&ifi=1&fwrnh=100&url=http%3A%2F%2Flive.techpanda.org%2Findex.php%2Fmobile.html&saldr=aa&ptt=9&correlator=2513282524872&fwrattr=true&bdt=1256&mjsv=m202409190101&u_aw=1280&w=1200&pi=t.ma%7Eas.3958788084&fwrn=4,62,0,0
1727205523793,46,https://pagead2.googlesyndication.com/pagead/ads?client=ca-pub-6330153051175486&output=html&adk=2796492187&adf=2640856889&abgtt=1&lmt=1727204012&plat=1%3A1024%2C2%3A1024%2C3%3A2097152%2C4%3A2097152%2C9%3A134250504%2C16%3A8388608%2C17%3A32%2C24%3A32%2C25%3A32%2C30%3A1081344%2C32%3A32%2C41%3A32%2C42%3A32&format=0x0&url=http%3A%2F%2Flive.techpanda.org%2Findex.php%2Fmobile.html&pra=7&wgl=1&aihb=0&asro=0&ailel=1~2~4~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~24~29~30~34&aiael=1~2~4~6~7~8~9~10~11~12~13~14~15~16~17~18~19~20~21~24~29~30~34&aifxl=29_18~30_19&aiixl=29_5~30_6&aslmct=0.7&asamct=0.7&aifgd=1&aipaq=1&itsi=-1&aiepr=1&aipecl=1&dt=1727204011918&bpp=2&bdt=1261&idt=469&shv=r20240919&mjsv=m202409190101&ptt=9&saldr=aa&abxe=1&eoidce=1&prev_fmts=1200x280&nras=1&correlator=2513282524872&frm=20&pv=1&u_tz=180&u_his=4&u_h=720&u_w=1280&u_ah=672&u_aw=1280&u_cd=24&u_sd=1.5&adx=-12245933&ady=-12245933&biw=1263&bih=585&scr_x=0&scr_y=0&eid=44759876%2C44759927%2C44759837%2C44798934%2C95342016%2C95342766%2C31087334%2C95335247%2C95340252%2C95340254&oid=2&pvsid=4292539466588627&tmod=1763877374&uas=0&nvt=1&fsapi=1&ref=http%3A%2F%2Flive.techpanda.org%2F&fc=896&brdim=0%2C0%2C0%2C0%2C1280%2C0%2C1280%2C672%2C1280%2C585&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=49152&bc=23&bz=1&nt=1&ifi=2&uci=a!2&fsb=1&dtd=481,200,OK,Thread Group 1-2,text,true,,424,2030,5,5,https://pagead2.googlesyndication.com/pagead/ads?bih=585&pv=1&u_ah=672&aihb=0&output=html&dt=1727204011918&biw=1263&lmt=1727204012&ref=http%3A%2F%2Flive.techpanda.org%2F&aifgd=1&scr_x=0&uci=a%212&plat=1%3A1024%2C2%3A1024%2C3%3A2097152%2C4%3A2097152%2C9%3A134250504%2C16%3A8388608%2C17%3A32%2C24%3A32%2C25%3A32%2C30%3A1081344%2C32%3A32%2C41%3A32%2C42%3A32&wgl=1&pra=7&u_h=720&scr_y=0&frm=20&vis=1&adf=2640856889&brdim=0%2C0%2C0%2C0%2C1280%2C0%2C1280%2C672%2C1280%2C585&u_tz=180&format=0x0&aiael=1%7E2%7E4%7E6%7E7%7E8%7E9%7E10%7E11%7E12%7E13%7E14%7E15%7E16%7E17%7E18%7E19%7E20%7E21%7E24%7E29%7E30%7E34&adk=2796492187&u_w=1280&nvt=1&adx=-12245933&fsb=1&ady=-12245933&idt=469&tmod=1763877374&aifxl=29_18%7E30_19&fc=896&shv=r20240919&prev_fmts=1200x280&eoidce=1&eid=44759876%2C44759927%2C44759837%2C44798934%2C95342016%2C95342766%2C31087334%2C95335247%2C95340252%2C95340254&bc=23&asro=0&aipecl=1&nras=1&nt=1&asamct=0.7&oid=2&fu=49152&u_his=4&dtd=481&rsz=%7C%7Cs%7C&bz=1&client=ca-pub-6330153051175486&u_cd=24&abgtt=1&ailel=1%7E2%7E4%7E6%7E7%7E8%7E9%7E10%7E11%7E12%7E13%7E14%7E15%7E16%7E17%7E18%7E19%7E20%7E21%7E24%7E29%7E30%7E34&bpp=2&abxe=1&uas=0&aslmct=0.7&pvsid=4292539466588627&abl=NS&u_sd=1.5&ifi=2&url=http%3A%2F%2Flive.techpanda.org%2Findex.php%2Fmobile.html&saldr=aa&aipaq=1&itsi=-1&ptt=9&correlator=2513282524872&bdt=1261&mjsv=m202409190101&u_aw=1280&aiepr=1&aiixl=29_5%7E30_6&fsapi=1,46,0,0
1727205523273,583,http://live.techpanda.org/index.php/mobile.html,200,OK,Thread Group 1-3,text,true,,30396,389,5,5,http://live.techpanda.org/index.php/mobile.html,438,0,148
