timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727201543521,676,My First HTTP Request,200,OK,Thread Group 1-1,text,true,,27508,137,4,4,http://live.techpanda.org/index.php/tv.html,521,0,206
1727201543717,643,My First HTTP Request,200,OK,Thread Group 1-2,text,true,,27508,137,4,4,http://live.techpanda.org/index.php/tv.html,479,0,151
1727201543919,592,My First HTTP Request,200,OK,Thread Group 1-3,text,true,,27508,137,3,3,http://live.techpanda.org/index.php/tv.html,456,0,152
1727201544126,580,My First HTTP Request,200,OK,Thread Group 1-4,text,true,,27508,137,3,3,http://live.techpanda.org/index.php/tv.html,438,0,147
1727201544327,617,My First HTTP Request,200,OK,Thread Group 1-5,text,true,,27508,137,4,4,http://live.techpanda.org/index.php/tv.html,464,0,161
1727201544529,599,My First HTTP Request,200,OK,Thread Group 1-6,text,true,,27508,137,4,4,http://live.techpanda.org/index.php/tv.html,455,0,150
1727201544719,593,My First HTTP Request,200,OK,Thread Group 1-7,text,true,,27508,137,3,3,http://live.techpanda.org/index.php/tv.html,446,0,147
1727201544917,592,My First HTTP Request,200,OK,Thread Group 1-8,text,true,,27508,137,3,3,http://live.techpanda.org/index.php/tv.html,449,0,151
1727201545125,655,My First HTTP Request,200,OK,Thread Group 1-9,text,true,,27508,137,2,2,http://live.techpanda.org/index.php/tv.html,488,0,150
1727201545324,580,My First HTTP Request,200,OK,Thread Group 1-10,text,true,,27508,137,1,1,http://live.techpanda.org/index.php/tv.html,424,0,134
